# e/g max H/E vs |ieta| and hwPt
# Index is (|ieta|-1)*256+hwPt. 
# Cuts corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 13 9 </header>

0 66 # ieta=1, ET=0, H/E<=0.12890625
3519 511 # ieta=14, ET=191, H/E<=0.998046875
3520 511 # ieta=14, ET=192, H/E<=0.998046875
3521 511 # ieta=14, ET=193, H/E<=0.998046875
3522 511 # ieta=14, ET=194, H/E<=0.998046875
3523 511 # ieta=14, ET=195, H/E<=0.998046875
3524 511 # ieta=14, ET=196, H/E<=0.998046875
3525 511 # ieta=14, ET=197, H/E<=0.998046875
3526 511 # ieta=14, ET=198, H/E<=0.998046875
3527 511 # ieta=14, ET=199, H/E<=0.998046875
3528 511 # ieta=14, ET=200, H/E<=0.998046875
3529 511 # ieta=14, ET=201, H/E<=0.998046875
3530 511 # ieta=14, ET=202, H/E<=0.998046875
3531 511 # ieta=14, ET=203, H/E<=0.998046875
3532 511 # ieta=14, ET=204, H/E<=0.998046875
3533 511 # ieta=14, ET=205, H/E<=0.998046875
3534 511 # ieta=14, ET=206, H/E<=0.998046875
3535 511 # ieta=14, ET=207, H/E<=0.998046875
3536 511 # ieta=14, ET=208, H/E<=0.998046875
3537 511 # ieta=14, ET=209, H/E<=0.998046875
3538 511 # ieta=14, ET=210, H/E<=0.998046875
3539 511 # ieta=14, ET=211, H/E<=0.998046875
3540 511 # ieta=14, ET=212, H/E<=0.998046875
3541 511 # ieta=14, ET=213, H/E<=0.998046875
3542 511 # ieta=14, ET=214, H/E<=0.998046875
3543 511 # ieta=14, ET=215, H/E<=0.998046875
3544 511 # ieta=14, ET=216, H/E<=0.998046875
3545 511 # ieta=14, ET=217, H/E<=0.998046875
3546 511 # ieta=14, ET=218, H/E<=0.998046875
3547 511 # ieta=14, ET=219, H/E<=0.998046875
3548 511 # ieta=14, ET=220, H/E<=0.998046875
3549 511 # ieta=14, ET=221, H/E<=0.998046875
3550 511 # ieta=14, ET=222, H/E<=0.998046875
3551 511 # ieta=14, ET=223, H/E<=0.998046875
3552 511 # ieta=14, ET=224, H/E<=0.998046875
3553 511 # ieta=14, ET=225, H/E<=0.998046875
3554 511 # ieta=14, ET=226, H/E<=0.998046875
3555 511 # ieta=14, ET=227, H/E<=0.998046875
3556 511 # ieta=14, ET=228, H/E<=0.998046875
3557 511 # ieta=14, ET=229, H/E<=0.998046875
3558 511 # ieta=14, ET=230, H/E<=0.998046875
3559 511 # ieta=14, ET=231, H/E<=0.998046875
3560 511 # ieta=14, ET=232, H/E<=0.998046875
3561 511 # ieta=14, ET=233, H/E<=0.998046875
3562 511 # ieta=14, ET=234, H/E<=0.998046875
3563 511 # ieta=14, ET=235, H/E<=0.998046875
3564 511 # ieta=14, ET=236, H/E<=0.998046875
3565 511 # ieta=14, ET=237, H/E<=0.998046875
3566 511 # ieta=14, ET=238, H/E<=0.998046875
3567 511 # ieta=14, ET=239, H/E<=0.998046875
3568 511 # ieta=14, ET=240, H/E<=0.998046875
3569 511 # ieta=14, ET=241, H/E<=0.998046875
3570 511 # ieta=14, ET=242, H/E<=0.998046875
3571 511 # ieta=14, ET=243, H/E<=0.998046875
3572 511 # ieta=14, ET=244, H/E<=0.998046875
3573 511 # ieta=14, ET=245, H/E<=0.998046875
3574 511 # ieta=14, ET=246, H/E<=0.998046875
3575 511 # ieta=14, ET=247, H/E<=0.998046875
3576 511 # ieta=14, ET=248, H/E<=0.998046875
3577 511 # ieta=14, ET=249, H/E<=0.998046875
3578 511 # ieta=14, ET=250, H/E<=0.998046875
3579 511 # ieta=14, ET=251, H/E<=0.998046875
3580 511 # ieta=14, ET=252, H/E<=0.998046875
3581 511 # ieta=14, ET=253, H/E<=0.998046875
3582 511 # ieta=14, ET=254, H/E<=0.998046875
3583 511 # ieta=14, ET=255, H/E<=0.998046875
3584 79 # ieta=15, ET=0, H/E<=0.154296875
3585 79 # ieta=15, ET=1, H/E<=0.154296875
3586 79 # ieta=15, ET=2, H/E<=0.154296875
3587 79 # ieta=15, ET=3, H/E<=0.154296875
3588 79 # ieta=15, ET=4, H/E<=0.154296875
3589 79 # ieta=15, ET=5, H/E<=0.154296875
3590 79 # ieta=15, ET=6, H/E<=0.154296875
3591 79 # ieta=15, ET=7, H/E<=0.154296875
3592 79 # ieta=15, ET=8, H/E<=0.154296875
3593 79 # ieta=15, ET=9, H/E<=0.154296875
3594 79 # ieta=15, ET=10, H/E<=0.154296875
3595 79 # ieta=15, ET=11, H/E<=0.154296875
3596 79 # ieta=15, ET=12, H/E<=0.154296875
3597 79 # ieta=15, ET=13, H/E<=0.154296875
3598 79 # ieta=15, ET=14, H/E<=0.154296875
3599 79 # ieta=15, ET=15, H/E<=0.154296875
3600 79 # ieta=15, ET=16, H/E<=0.154296875
3601 79 # ieta=15, ET=17, H/E<=0.154296875
3602 79 # ieta=15, ET=18, H/E<=0.154296875
3603 79 # ieta=15, ET=19, H/E<=0.154296875
3604 79 # ieta=15, ET=20, H/E<=0.154296875
3605 79 # ieta=15, ET=21, H/E<=0.154296875
3606 79 # ieta=15, ET=22, H/E<=0.154296875
3607 79 # ieta=15, ET=23, H/E<=0.154296875
3608 79 # ieta=15, ET=24, H/E<=0.154296875
3609 79 # ieta=15, ET=25, H/E<=0.154296875
3610 79 # ieta=15, ET=26, H/E<=0.154296875
3611 79 # ieta=15, ET=27, H/E<=0.154296875
3612 79 # ieta=15, ET=28, H/E<=0.154296875
3613 79 # ieta=15, ET=29, H/E<=0.154296875
3614 79 # ieta=15, ET=30, H/E<=0.154296875
3615 79 # ieta=15, ET=31, H/E<=0.154296875
3616 79 # ieta=15, ET=32, H/E<=0.154296875
3617 79 # ieta=15, ET=33, H/E<=0.154296875
3618 79 # ieta=15, ET=34, H/E<=0.154296875
3619 79 # ieta=15, ET=35, H/E<=0.154296875
3620 79 # ieta=15, ET=36, H/E<=0.154296875
3621 79 # ieta=15, ET=37, H/E<=0.154296875
3622 79 # ieta=15, ET=38, H/E<=0.154296875
3623 57 # ieta=15, ET=39, H/E<=0.111328125
3624 57 # ieta=15, ET=40, H/E<=0.111328125
3625 57 # ieta=15, ET=41, H/E<=0.111328125
3626 57 # ieta=15, ET=42, H/E<=0.111328125
3627 57 # ieta=15, ET=43, H/E<=0.111328125
3628 57 # ieta=15, ET=44, H/E<=0.111328125
3629 57 # ieta=15, ET=45, H/E<=0.111328125
3630 57 # ieta=15, ET=46, H/E<=0.111328125
3631 57 # ieta=15, ET=47, H/E<=0.111328125
3632 57 # ieta=15, ET=48, H/E<=0.111328125
3633 57 # ieta=15, ET=49, H/E<=0.111328125
3634 57 # ieta=15, ET=50, H/E<=0.111328125
3635 57 # ieta=15, ET=51, H/E<=0.111328125
3636 57 # ieta=15, ET=52, H/E<=0.111328125
3637 57 # ieta=15, ET=53, H/E<=0.111328125
3638 57 # ieta=15, ET=54, H/E<=0.111328125
3639 57 # ieta=15, ET=55, H/E<=0.111328125
3640 57 # ieta=15, ET=56, H/E<=0.111328125
3641 57 # ieta=15, ET=57, H/E<=0.111328125
3642 57 # ieta=15, ET=58, H/E<=0.111328125
3643 48 # ieta=15, ET=59, H/E<=0.09375
3644 48 # ieta=15, ET=60, H/E<=0.09375
3645 48 # ieta=15, ET=61, H/E<=0.09375
3646 48 # ieta=15, ET=62, H/E<=0.09375
3647 48 # ieta=15, ET=63, H/E<=0.09375
3648 48 # ieta=15, ET=64, H/E<=0.09375
3649 48 # ieta=15, ET=65, H/E<=0.09375
3650 48 # ieta=15, ET=66, H/E<=0.09375
3651 48 # ieta=15, ET=67, H/E<=0.09375
3652 48 # ieta=15, ET=68, H/E<=0.09375
3653 34 # ieta=15, ET=69, H/E<=0.06640625
3654 34 # ieta=15, ET=70, H/E<=0.06640625
3655 34 # ieta=15, ET=71, H/E<=0.06640625
3656 34 # ieta=15, ET=72, H/E<=0.06640625
3657 34 # ieta=15, ET=73, H/E<=0.06640625
3658 34 # ieta=15, ET=74, H/E<=0.06640625
3659 34 # ieta=15, ET=75, H/E<=0.06640625
3660 34 # ieta=15, ET=76, H/E<=0.06640625
3661 34 # ieta=15, ET=77, H/E<=0.06640625
3662 34 # ieta=15, ET=78, H/E<=0.06640625
3663 32 # ieta=15, ET=79, H/E<=0.0625
3664 32 # ieta=15, ET=80, H/E<=0.0625
3665 32 # ieta=15, ET=81, H/E<=0.0625
3666 32 # ieta=15, ET=82, H/E<=0.0625
3667 32 # ieta=15, ET=83, H/E<=0.0625
3668 32 # ieta=15, ET=84, H/E<=0.0625
3669 32 # ieta=15, ET=85, H/E<=0.0625
3670 32 # ieta=15, ET=86, H/E<=0.0625
3671 32 # ieta=15, ET=87, H/E<=0.0625
3672 32 # ieta=15, ET=88, H/E<=0.0625
3673 40 # ieta=15, ET=89, H/E<=0.078125
3674 40 # ieta=15, ET=90, H/E<=0.078125
3675 40 # ieta=15, ET=91, H/E<=0.078125
3676 40 # ieta=15, ET=92, H/E<=0.078125
3677 40 # ieta=15, ET=93, H/E<=0.078125
3678 40 # ieta=15, ET=94, H/E<=0.078125
3679 40 # ieta=15, ET=95, H/E<=0.078125
3680 40 # ieta=15, ET=96, H/E<=0.078125
3681 40 # ieta=15, ET=97, H/E<=0.078125
3682 40 # ieta=15, ET=98, H/E<=0.078125
3683 34 # ieta=15, ET=99, H/E<=0.06640625
3684 34 # ieta=15, ET=100, H/E<=0.06640625
3685 34 # ieta=15, ET=101, H/E<=0.06640625
3686 34 # ieta=15, ET=102, H/E<=0.06640625
3687 34 # ieta=15, ET=103, H/E<=0.06640625
3688 34 # ieta=15, ET=104, H/E<=0.06640625
3689 34 # ieta=15, ET=105, H/E<=0.06640625
3690 34 # ieta=15, ET=106, H/E<=0.06640625
3691 34 # ieta=15, ET=107, H/E<=0.06640625
3692 34 # ieta=15, ET=108, H/E<=0.06640625
3693 57 # ieta=15, ET=109, H/E<=0.111328125
3694 57 # ieta=15, ET=110, H/E<=0.111328125
3695 57 # ieta=15, ET=111, H/E<=0.111328125
3696 57 # ieta=15, ET=112, H/E<=0.111328125
3697 57 # ieta=15, ET=113, H/E<=0.111328125
3698 57 # ieta=15, ET=114, H/E<=0.111328125
3699 57 # ieta=15, ET=115, H/E<=0.111328125
3700 57 # ieta=15, ET=116, H/E<=0.111328125
3701 57 # ieta=15, ET=117, H/E<=0.111328125
3702 57 # ieta=15, ET=118, H/E<=0.111328125
3703 40 # ieta=15, ET=119, H/E<=0.078125
3704 40 # ieta=15, ET=120, H/E<=0.078125
3705 40 # ieta=15, ET=121, H/E<=0.078125
3706 40 # ieta=15, ET=122, H/E<=0.078125
3707 40 # ieta=15, ET=123, H/E<=0.078125
3708 40 # ieta=15, ET=124, H/E<=0.078125
3709 40 # ieta=15, ET=125, H/E<=0.078125
3710 40 # ieta=15, ET=126, H/E<=0.078125
3711 40 # ieta=15, ET=127, H/E<=0.078125
3712 40 # ieta=15, ET=128, H/E<=0.078125
3713 40 # ieta=15, ET=129, H/E<=0.078125
3714 40 # ieta=15, ET=130, H/E<=0.078125
3715 40 # ieta=15, ET=131, H/E<=0.078125
3716 40 # ieta=15, ET=132, H/E<=0.078125
3717 40 # ieta=15, ET=133, H/E<=0.078125
3718 40 # ieta=15, ET=134, H/E<=0.078125
3719 40 # ieta=15, ET=135, H/E<=0.078125
3720 40 # ieta=15, ET=136, H/E<=0.078125
3721 40 # ieta=15, ET=137, H/E<=0.078125
3722 40 # ieta=15, ET=138, H/E<=0.078125
3723 48 # ieta=15, ET=139, H/E<=0.09375
3724 48 # ieta=15, ET=140, H/E<=0.09375
3725 48 # ieta=15, ET=141, H/E<=0.09375
3726 48 # ieta=15, ET=142, H/E<=0.09375
3727 48 # ieta=15, ET=143, H/E<=0.09375
3728 48 # ieta=15, ET=144, H/E<=0.09375
3729 48 # ieta=15, ET=145, H/E<=0.09375
3730 48 # ieta=15, ET=146, H/E<=0.09375
3731 48 # ieta=15, ET=147, H/E<=0.09375
3732 48 # ieta=15, ET=148, H/E<=0.09375
3733 48 # ieta=15, ET=149, H/E<=0.09375
3734 48 # ieta=15, ET=150, H/E<=0.09375
3735 48 # ieta=15, ET=151, H/E<=0.09375
3736 48 # ieta=15, ET=152, H/E<=0.09375
3737 48 # ieta=15, ET=153, H/E<=0.09375
3738 48 # ieta=15, ET=154, H/E<=0.09375
3739 48 # ieta=15, ET=155, H/E<=0.09375
3740 48 # ieta=15, ET=156, H/E<=0.09375
3741 48 # ieta=15, ET=157, H/E<=0.09375
3742 48 # ieta=15, ET=158, H/E<=0.09375
3743 79 # ieta=15, ET=159, H/E<=0.154296875
3744 79 # ieta=15, ET=160, H/E<=0.154296875
3745 79 # ieta=15, ET=161, H/E<=0.154296875
3746 79 # ieta=15, ET=162, H/E<=0.154296875
3747 79 # ieta=15, ET=163, H/E<=0.154296875
3748 79 # ieta=15, ET=164, H/E<=0.154296875
3749 79 # ieta=15, ET=165, H/E<=0.154296875
3750 79 # ieta=15, ET=166, H/E<=0.154296875
3751 79 # ieta=15, ET=167, H/E<=0.154296875
3752 79 # ieta=15, ET=168, H/E<=0.154296875
3753 79 # ieta=15, ET=169, H/E<=0.154296875
3754 511 # ieta=15, ET=170, H/E<=0.998046875
3755 511 # ieta=15, ET=171, H/E<=0.998046875
3756 511 # ieta=15, ET=172, H/E<=0.998046875
3757 511 # ieta=15, ET=173, H/E<=0.998046875
3758 511 # ieta=15, ET=174, H/E<=0.998046875
3759 511 # ieta=15, ET=175, H/E<=0.998046875
3760 511 # ieta=15, ET=176, H/E<=0.998046875
3761 511 # ieta=15, ET=177, H/E<=0.998046875
3762 511 # ieta=15, ET=178, H/E<=0.998046875
3763 511 # ieta=15, ET=179, H/E<=0.998046875
3764 511 # ieta=15, ET=180, H/E<=0.998046875
3765 511 # ieta=15, ET=181, H/E<=0.998046875
3766 511 # ieta=15, ET=182, H/E<=0.998046875
3767 511 # ieta=15, ET=183, H/E<=0.998046875
3768 511 # ieta=15, ET=184, H/E<=0.998046875
3769 511 # ieta=15, ET=185, H/E<=0.998046875
3770 511 # ieta=15, ET=186, H/E<=0.998046875
3771 511 # ieta=15, ET=187, H/E<=0.998046875
3772 511 # ieta=15, ET=188, H/E<=0.998046875
3773 511 # ieta=15, ET=189, H/E<=0.998046875
3774 511 # ieta=15, ET=190, H/E<=0.998046875
3775 511 # ieta=15, ET=191, H/E<=0.998046875
3776 511 # ieta=15, ET=192, H/E<=0.998046875
3777 511 # ieta=15, ET=193, H/E<=0.998046875
3778 511 # ieta=15, ET=194, H/E<=0.998046875
3779 511 # ieta=15, ET=195, H/E<=0.998046875
3780 511 # ieta=15, ET=196, H/E<=0.998046875
3781 511 # ieta=15, ET=197, H/E<=0.998046875
3782 511 # ieta=15, ET=198, H/E<=0.998046875
3783 511 # ieta=15, ET=199, H/E<=0.998046875
3784 511 # ieta=15, ET=200, H/E<=0.998046875
3785 511 # ieta=15, ET=201, H/E<=0.998046875
3786 511 # ieta=15, ET=202, H/E<=0.998046875
3787 511 # ieta=15, ET=203, H/E<=0.998046875
3788 511 # ieta=15, ET=204, H/E<=0.998046875
3789 511 # ieta=15, ET=205, H/E<=0.998046875
3790 511 # ieta=15, ET=206, H/E<=0.998046875
3791 511 # ieta=15, ET=207, H/E<=0.998046875
3792 511 # ieta=15, ET=208, H/E<=0.998046875
3793 511 # ieta=15, ET=209, H/E<=0.998046875
3794 511 # ieta=15, ET=210, H/E<=0.998046875
3795 511 # ieta=15, ET=211, H/E<=0.998046875
3796 511 # ieta=15, ET=212, H/E<=0.998046875
3797 511 # ieta=15, ET=213, H/E<=0.998046875
3798 511 # ieta=15, ET=214, H/E<=0.998046875
3799 511 # ieta=15, ET=215, H/E<=0.998046875
3800 511 # ieta=15, ET=216, H/E<=0.998046875
3801 511 # ieta=15, ET=217, H/E<=0.998046875
3802 511 # ieta=15, ET=218, H/E<=0.998046875
3803 511 # ieta=15, ET=219, H/E<=0.998046875
3804 511 # ieta=15, ET=220, H/E<=0.998046875
3805 511 # ieta=15, ET=221, H/E<=0.998046875
3806 511 # ieta=15, ET=222, H/E<=0.998046875
3807 511 # ieta=15, ET=223, H/E<=0.998046875
3808 511 # ieta=15, ET=224, H/E<=0.998046875
3809 511 # ieta=15, ET=225, H/E<=0.998046875
3810 511 # ieta=15, ET=226, H/E<=0.998046875
3811 511 # ieta=15, ET=227, H/E<=0.998046875
3812 511 # ieta=15, ET=228, H/E<=0.998046875
3813 511 # ieta=15, ET=229, H/E<=0.998046875
3814 511 # ieta=15, ET=230, H/E<=0.998046875
3815 511 # ieta=15, ET=231, H/E<=0.998046875
3816 511 # ieta=15, ET=232, H/E<=0.998046875
3817 511 # ieta=15, ET=233, H/E<=0.998046875
3818 511 # ieta=15, ET=234, H/E<=0.998046875
3819 511 # ieta=15, ET=235, H/E<=0.998046875
3820 511 # ieta=15, ET=236, H/E<=0.998046875
3821 511 # ieta=15, ET=237, H/E<=0.998046875
3822 511 # ieta=15, ET=238, H/E<=0.998046875
3823 511 # ieta=15, ET=239, H/E<=0.998046875
3824 511 # ieta=15, ET=240, H/E<=0.998046875
3825 511 # ieta=15, ET=241, H/E<=0.998046875
3826 511 # ieta=15, ET=242, H/E<=0.998046875
3827 511 # ieta=15, ET=243, H/E<=0.998046875
3828 511 # ieta=15, ET=244, H/E<=0.998046875
3829 511 # ieta=15, ET=245, H/E<=0.998046875
3830 511 # ieta=15, ET=246, H/E<=0.998046875
3831 511 # ieta=15, ET=247, H/E<=0.998046875
3832 511 # ieta=15, ET=248, H/E<=0.998046875
3833 511 # ieta=15, ET=249, H/E<=0.998046875
3834 511 # ieta=15, ET=250, H/E<=0.998046875
3835 511 # ieta=15, ET=251, H/E<=0.998046875
3836 511 # ieta=15, ET=252, H/E<=0.998046875
3837 511 # ieta=15, ET=253, H/E<=0.998046875
3838 511 # ieta=15, ET=254, H/E<=0.998046875
3839 511 # ieta=15, ET=255, H/E<=0.998046875
3840 88 # ieta=16, ET=0, H/E<=0.171875
3841 88 # ieta=16, ET=1, H/E<=0.171875
3842 88 # ieta=16, ET=2, H/E<=0.171875
3843 88 # ieta=16, ET=3, H/E<=0.171875
3844 88 # ieta=16, ET=4, H/E<=0.171875
3845 88 # ieta=16, ET=5, H/E<=0.171875
3846 88 # ieta=16, ET=6, H/E<=0.171875
3847 88 # ieta=16, ET=7, H/E<=0.171875
3848 88 # ieta=16, ET=8, H/E<=0.171875
3849 88 # ieta=16, ET=9, H/E<=0.171875
3850 88 # ieta=16, ET=10, H/E<=0.171875
3851 88 # ieta=16, ET=11, H/E<=0.171875
3852 88 # ieta=16, ET=12, H/E<=0.171875
3853 88 # ieta=16, ET=13, H/E<=0.171875
3854 88 # ieta=16, ET=14, H/E<=0.171875
3855 88 # ieta=16, ET=15, H/E<=0.171875
3856 88 # ieta=16, ET=16, H/E<=0.171875
3857 88 # ieta=16, ET=17, H/E<=0.171875
3858 88 # ieta=16, ET=18, H/E<=0.171875
3859 88 # ieta=16, ET=19, H/E<=0.171875
3860 88 # ieta=16, ET=20, H/E<=0.171875
3861 88 # ieta=16, ET=21, H/E<=0.171875
3862 88 # ieta=16, ET=22, H/E<=0.171875
3863 88 # ieta=16, ET=23, H/E<=0.171875
3864 88 # ieta=16, ET=24, H/E<=0.171875
3865 88 # ieta=16, ET=25, H/E<=0.171875
3866 88 # ieta=16, ET=26, H/E<=0.171875
3867 88 # ieta=16, ET=27, H/E<=0.171875
3868 88 # ieta=16, ET=28, H/E<=0.171875
3869 88 # ieta=16, ET=29, H/E<=0.171875
3870 88 # ieta=16, ET=30, H/E<=0.171875
3871 88 # ieta=16, ET=31, H/E<=0.171875
3872 88 # ieta=16, ET=32, H/E<=0.171875
3873 88 # ieta=16, ET=33, H/E<=0.171875
3874 88 # ieta=16, ET=34, H/E<=0.171875
3875 88 # ieta=16, ET=35, H/E<=0.171875
3876 88 # ieta=16, ET=36, H/E<=0.171875
3877 88 # ieta=16, ET=37, H/E<=0.171875
3878 88 # ieta=16, ET=38, H/E<=0.171875
3879 68 # ieta=16, ET=39, H/E<=0.1328125
3880 68 # ieta=16, ET=40, H/E<=0.1328125
3881 68 # ieta=16, ET=41, H/E<=0.1328125
3882 68 # ieta=16, ET=42, H/E<=0.1328125
3883 68 # ieta=16, ET=43, H/E<=0.1328125
3884 68 # ieta=16, ET=44, H/E<=0.1328125
3885 68 # ieta=16, ET=45, H/E<=0.1328125
3886 68 # ieta=16, ET=46, H/E<=0.1328125
3887 68 # ieta=16, ET=47, H/E<=0.1328125
3888 68 # ieta=16, ET=48, H/E<=0.1328125
3889 68 # ieta=16, ET=49, H/E<=0.1328125
3890 68 # ieta=16, ET=50, H/E<=0.1328125
3891 68 # ieta=16, ET=51, H/E<=0.1328125
3892 68 # ieta=16, ET=52, H/E<=0.1328125
3893 68 # ieta=16, ET=53, H/E<=0.1328125
3894 68 # ieta=16, ET=54, H/E<=0.1328125
3895 68 # ieta=16, ET=55, H/E<=0.1328125
3896 68 # ieta=16, ET=56, H/E<=0.1328125
3897 68 # ieta=16, ET=57, H/E<=0.1328125
3898 68 # ieta=16, ET=58, H/E<=0.1328125
3899 56 # ieta=16, ET=59, H/E<=0.109375
3900 56 # ieta=16, ET=60, H/E<=0.109375
3901 56 # ieta=16, ET=61, H/E<=0.109375
3902 56 # ieta=16, ET=62, H/E<=0.109375
3903 56 # ieta=16, ET=63, H/E<=0.109375
3904 56 # ieta=16, ET=64, H/E<=0.109375
3905 56 # ieta=16, ET=65, H/E<=0.109375
3906 56 # ieta=16, ET=66, H/E<=0.109375
3907 56 # ieta=16, ET=67, H/E<=0.109375
3908 56 # ieta=16, ET=68, H/E<=0.109375
3909 35 # ieta=16, ET=69, H/E<=0.068359375
3910 35 # ieta=16, ET=70, H/E<=0.068359375
3911 35 # ieta=16, ET=71, H/E<=0.068359375
3912 35 # ieta=16, ET=72, H/E<=0.068359375
3913 35 # ieta=16, ET=73, H/E<=0.068359375
3914 35 # ieta=16, ET=74, H/E<=0.068359375
3915 35 # ieta=16, ET=75, H/E<=0.068359375
3916 35 # ieta=16, ET=76, H/E<=0.068359375
3917 35 # ieta=16, ET=77, H/E<=0.068359375
3918 35 # ieta=16, ET=78, H/E<=0.068359375
3919 31 # ieta=16, ET=79, H/E<=0.060546875
3920 31 # ieta=16, ET=80, H/E<=0.060546875
3921 31 # ieta=16, ET=81, H/E<=0.060546875
3922 31 # ieta=16, ET=82, H/E<=0.060546875
3923 31 # ieta=16, ET=83, H/E<=0.060546875
3924 31 # ieta=16, ET=84, H/E<=0.060546875
3925 31 # ieta=16, ET=85, H/E<=0.060546875
3926 31 # ieta=16, ET=86, H/E<=0.060546875
3927 31 # ieta=16, ET=87, H/E<=0.060546875
3928 31 # ieta=16, ET=88, H/E<=0.060546875
3929 43 # ieta=16, ET=89, H/E<=0.083984375
3930 43 # ieta=16, ET=90, H/E<=0.083984375
3931 43 # ieta=16, ET=91, H/E<=0.083984375
3932 43 # ieta=16, ET=92, H/E<=0.083984375
3933 43 # ieta=16, ET=93, H/E<=0.083984375
3934 43 # ieta=16, ET=94, H/E<=0.083984375
3935 43 # ieta=16, ET=95, H/E<=0.083984375
3936 43 # ieta=16, ET=96, H/E<=0.083984375
3937 43 # ieta=16, ET=97, H/E<=0.083984375
3938 43 # ieta=16, ET=98, H/E<=0.083984375
3939 35 # ieta=16, ET=99, H/E<=0.068359375
3940 35 # ieta=16, ET=100, H/E<=0.068359375
3941 35 # ieta=16, ET=101, H/E<=0.068359375
3942 35 # ieta=16, ET=102, H/E<=0.068359375
3943 35 # ieta=16, ET=103, H/E<=0.068359375
3944 35 # ieta=16, ET=104, H/E<=0.068359375
3945 35 # ieta=16, ET=105, H/E<=0.068359375
3946 35 # ieta=16, ET=106, H/E<=0.068359375
3947 35 # ieta=16, ET=107, H/E<=0.068359375
3948 35 # ieta=16, ET=108, H/E<=0.068359375
3949 68 # ieta=16, ET=109, H/E<=0.1328125
3950 68 # ieta=16, ET=110, H/E<=0.1328125
3951 68 # ieta=16, ET=111, H/E<=0.1328125
3952 68 # ieta=16, ET=112, H/E<=0.1328125
3953 68 # ieta=16, ET=113, H/E<=0.1328125
3954 68 # ieta=16, ET=114, H/E<=0.1328125
3955 68 # ieta=16, ET=115, H/E<=0.1328125
3956 68 # ieta=16, ET=116, H/E<=0.1328125
3957 68 # ieta=16, ET=117, H/E<=0.1328125
3958 68 # ieta=16, ET=118, H/E<=0.1328125
3959 43 # ieta=16, ET=119, H/E<=0.083984375
3960 43 # ieta=16, ET=120, H/E<=0.083984375
3961 43 # ieta=16, ET=121, H/E<=0.083984375
3962 43 # ieta=16, ET=122, H/E<=0.083984375
3963 43 # ieta=16, ET=123, H/E<=0.083984375
3964 43 # ieta=16, ET=124, H/E<=0.083984375
3965 43 # ieta=16, ET=125, H/E<=0.083984375
3966 43 # ieta=16, ET=126, H/E<=0.083984375
3967 43 # ieta=16, ET=127, H/E<=0.083984375
3968 43 # ieta=16, ET=128, H/E<=0.083984375
3969 43 # ieta=16, ET=129, H/E<=0.083984375
3970 43 # ieta=16, ET=130, H/E<=0.083984375
3971 43 # ieta=16, ET=131, H/E<=0.083984375
3972 43 # ieta=16, ET=132, H/E<=0.083984375
3973 43 # ieta=16, ET=133, H/E<=0.083984375
3974 43 # ieta=16, ET=134, H/E<=0.083984375
3975 43 # ieta=16, ET=135, H/E<=0.083984375
3976 43 # ieta=16, ET=136, H/E<=0.083984375
3977 43 # ieta=16, ET=137, H/E<=0.083984375
3978 43 # ieta=16, ET=138, H/E<=0.083984375
3979 56 # ieta=16, ET=139, H/E<=0.109375
3980 56 # ieta=16, ET=140, H/E<=0.109375
3981 56 # ieta=16, ET=141, H/E<=0.109375
3982 56 # ieta=16, ET=142, H/E<=0.109375
3983 56 # ieta=16, ET=143, H/E<=0.109375
3984 56 # ieta=16, ET=144, H/E<=0.109375
3985 56 # ieta=16, ET=145, H/E<=0.109375
3986 56 # ieta=16, ET=146, H/E<=0.109375
3987 56 # ieta=16, ET=147, H/E<=0.109375
3988 56 # ieta=16, ET=148, H/E<=0.109375
3989 56 # ieta=16, ET=149, H/E<=0.109375
3990 56 # ieta=16, ET=150, H/E<=0.109375
3991 56 # ieta=16, ET=151, H/E<=0.109375
3992 56 # ieta=16, ET=152, H/E<=0.109375
3993 56 # ieta=16, ET=153, H/E<=0.109375
3994 56 # ieta=16, ET=154, H/E<=0.109375
3995 56 # ieta=16, ET=155, H/E<=0.109375
3996 56 # ieta=16, ET=156, H/E<=0.109375
3997 56 # ieta=16, ET=157, H/E<=0.109375
3998 56 # ieta=16, ET=158, H/E<=0.109375
3999 88 # ieta=16, ET=159, H/E<=0.171875
4000 88 # ieta=16, ET=160, H/E<=0.171875
4001 88 # ieta=16, ET=161, H/E<=0.171875
4002 88 # ieta=16, ET=162, H/E<=0.171875
4003 88 # ieta=16, ET=163, H/E<=0.171875
4004 88 # ieta=16, ET=164, H/E<=0.171875
4005 88 # ieta=16, ET=165, H/E<=0.171875
4006 88 # ieta=16, ET=166, H/E<=0.171875
4007 88 # ieta=16, ET=167, H/E<=0.171875
4008 88 # ieta=16, ET=168, H/E<=0.171875
4009 88 # ieta=16, ET=169, H/E<=0.171875
4010 511 # ieta=16, ET=170, H/E<=0.998046875
4011 511 # ieta=16, ET=171, H/E<=0.998046875
4012 511 # ieta=16, ET=172, H/E<=0.998046875
4013 511 # ieta=16, ET=173, H/E<=0.998046875
4014 511 # ieta=16, ET=174, H/E<=0.998046875
4015 511 # ieta=16, ET=175, H/E<=0.998046875
4016 511 # ieta=16, ET=176, H/E<=0.998046875
4017 511 # ieta=16, ET=177, H/E<=0.998046875
